Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
OGLE,I,7591.52613,19.751,0.162,19.751,0.16199999999999998
OGLE,I,7591.61148,19.334,0.084,19.334,0.084
OGLE,I,7593.4992,19.423,0.075,19.423,0.07500000000000001
OGLE,I,7593.54694,19.448,0.057,19.448,0.05699999999999999
OGLE,I,7593.59339,19.35,0.057,19.35,0.05699999999999999
OGLE,I,7593.63948,19.357,0.059,19.357,0.059
OGLE,I,7593.67744,19.353,0.058,19.353,0.057999999999999996
OGLE,I,7593.71495,19.566,0.067,19.566,0.06699999999999999
OGLE,I,7593.75338,19.403,0.063,19.403,0.063
OGLE,I,7593.79082,19.313,0.066,19.313,0.066
OGLE,I,7595.51412,19.334,0.099,19.334,0.09899999999999999
OGLE,I,7595.60935,19.348,0.084,19.348,0.084
OGLE,I,7596.48493,19.41,0.06,19.41,0.05999999999999999
OGLE,I,7596.53877,19.531,0.053,19.531,0.05299999999999999
OGLE,I,7596.58963,19.524,0.052,19.524,0.051999999999999984
OGLE,I,7599.47362,19.505,0.128,19.505,0.12799999999999997
OGLE,I,7599.54105,19.346,0.089,19.346,0.089
OGLE,I,7599.58035,19.505,0.09,19.505,0.09
OGLE,I,7599.65809,19.238,0.068,19.238,0.068
OGLE,I,7599.73512,19.407,0.076,19.407,0.076
OGLE,I,7599.77295,19.638,0.093,19.638,0.09299999999999999
OGLE,I,7600.48186,19.304,0.097,19.304,0.097
OGLE,I,7600.55005,19.501,0.095,19.501,0.09499999999999999
OGLE,I,7600.61708,19.23,0.062,19.23,0.06199999999999999
OGLE,I,7600.64535,19.309,0.068,19.309,0.068
OGLE,I,7600.69204,19.604,0.103,19.604,0.10299999999999998
OGLE,I,7601.68808,19.357,0.061,19.357,0.061
OGLE,I,7601.7554,19.37,0.064,19.37,0.064
OGLE,I,7602.47396,19.662,0.139,19.662,0.139
OGLE,I,7602.51987,19.393,0.099,19.393,0.099
OGLE,I,7602.55723,19.454,0.092,19.454,0.09199999999999998
OGLE,I,7602.59721,19.468,0.073,19.468,0.073
OGLE,I,7602.65357,19.586,0.087,19.586,0.08699999999999998
OGLE,I,7602.69148,19.621,0.085,19.621,0.08499999999999998
OGLE,I,7602.73122,19.397,0.098,19.397,0.098
OGLE,I,7602.76857,19.114,0.086,19.114,0.08599999999999998
OGLE,I,7603.48686,19.596,0.079,19.596,0.07899999999999999
OGLE,I,7603.52428,19.197,0.054,19.197,0.053999999999999986
OGLE,I,7603.58092,19.362,0.056,19.362,0.056
OGLE,I,7603.61928,19.549,0.069,19.549,0.069
OGLE,I,7603.65691,19.381,0.051,19.381,0.05099999999999999
OGLE,I,7603.69416,19.524,0.065,19.524,0.06499999999999999
OGLE,I,7603.73401,19.537,0.076,19.537,0.076
OGLE,I,7603.77164,19.3,0.073,19.3,0.07299999999999998
OGLE,I,7604.49773,19.414,0.084,19.414,0.084
OGLE,I,7604.53508,19.427,0.061,19.427,0.061000000000000006
OGLE,I,7604.57317,19.559,0.067,19.559,0.06699999999999999
OGLE,I,7604.61267,19.398,0.057,19.398,0.057
OGLE,I,7604.65152,19.406,0.058,19.406,0.057999999999999996
OGLE,I,7604.6889,19.37,0.06,19.37,0.05999999999999999
OGLE,I,7604.72668,19.414,0.064,19.414,0.06399999999999999
OGLE,I,7604.76486,19.334,0.069,19.334,0.06899999999999999
OGLE,I,7605.50144,19.567,0.084,19.567,0.08399999999999999
OGLE,I,7605.54384,19.275,0.063,19.275,0.063
OGLE,I,7605.6048,19.391,0.072,19.391,0.072
OGLE,I,7605.64245,19.39,0.071,19.39,0.07099999999999998
OGLE,I,7605.68036,19.284,0.065,19.284,0.06499999999999999
OGLE,I,7605.71756,19.714,0.102,19.714,0.10199999999999998
OGLE,I,7605.75483,19.335,0.074,19.335,0.074
OGLE,I,7606.66168,19.54,0.091,19.54,0.09099999999999998
OGLE,I,7606.70619,19.549,0.118,19.549,0.11799999999999998
OGLE,I,7607.47396,19.442,0.101,19.442,0.10099999999999999
OGLE,I,7607.52803,19.495,0.081,19.495,0.081
OGLE,I,7607.58546,19.277,0.067,19.277,0.067
OGLE,I,7607.62978,19.579,0.096,19.579,0.096
OGLE,I,7607.6734,19.313,0.071,19.313,0.07099999999999998
OGLE,I,7607.71694,19.548,0.081,19.548,0.08099999999999999
OGLE,I,7607.75694,19.253,0.07,19.253,0.06999999999999999
OGLE,I,7608.50485,19.483,0.072,19.483,0.072
OGLE,I,7608.58807,19.451,0.058,19.451,0.058
OGLE,I,7608.63625,19.403,0.059,19.403,0.05899999999999999
OGLE,I,7608.68067,19.284,0.053,19.284,0.05299999999999999
OGLE,I,7608.72572,19.232,0.059,19.232,0.05899999999999999
